Table A-110:  NOx Emissions from Mobile Combustion (kt),,,,,,,,,,,,,,,,,,,,,,,,,
Fuel Type/Vehicle Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Gasoline On-Road,"5,746"," 5,508 "," 5,271 "," 5,034 "," 4,797 ","4,560"," 4,322 "," 4,268 "," 4,090 "," 3,924 ","3,812","3,715","4,940","4,621","4,303","3,984","3,819","3,654","3,317","2,966","2,724","2,805","2,585","2,365","2,145"
Passenger Cars,"3,847"," 3,628 "," 3,409 "," 3,190 "," 2,971 ","2,752"," 2,533 "," 2,447 "," 2,316 "," 2,158 ","2,084","2,027","2,695","2,521","2,347","2,174","2,083","1,993","1,810","1,618","1,486","1,530","1,410","1,290","1,170"
Light-Duty Trucks,"1,364"," 1,356 "," 1,349 "," 1,341 "," 1,333 ","1,325"," 1,318 "," 1,334 "," 1,294 "," 1,268 ","1,303","1,285","1,708","1,598","1,488","1,378","1,321","1,264","1,147","1,026",942,970,894,818,742
Medium- and Heavy-Duty Trucks and Buses,515, 505 , 496 , 487 , 478 ,469, 459 , 475 , 467 , 485 ,411,390,518,485,452,418,401,383,348,311,286,294,271,248,225
Motorcycles,20, 19 , 17 , 16 , 15 ,14, 13 , 13 , 13 , 13 ,13,14,18,17,16,15,14,13,12,11,10,10,10,9,8
Diesel On-Road,"2,956"," 3,064 "," 3,171 "," 3,278 "," 3,385 ","3,493"," 3,600 "," 3,708 "," 3,729 "," 3,671 ","3,803","3,338","4,438","4,152","3,866","3,580","3,431","3,283","2,980","2,665","2,448","2,520","2,323","2,125","1,927"
Passenger Cars,39, 35 , 31 , 27 , 23 ,19, 15 , 13 , 11 , 10 ,7,6,8,7,7,6,6,6,5,5,4,4,4,4,3
Light-Duty Trucks,20, 19 , 17 , 16 , 14 ,12, 11 , 10 , 9 , 8 ,6,5,7,7,6,6,6,5,5,4,4,4,4,3,3
Medium- and Heavy-Duty Trucks and Buses,"2,897"," 3,010 "," 3,123 "," 3,236 "," 3,349 ","3,462"," 3,575 "," 3,685 "," 3,709 "," 3,653 ","3,791","3,326","4,423","4,138","3,853","3,568","3,420","3,272","2,970","2,656","2,439","2,512","2,315","2,118","1,921"
Alternative Fuel On-Roada,IE, IE , IE , IE , IE ,IE, IE , IE , IE , IE ,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE
Non-Road,"2,160"," 2,223 "," 2,286 "," 2,350 "," 2,416 ","2,483"," 2,553 "," 2,552 "," 2,565 "," 2,588 ","2,584","2,643","3,107","2,981","2,856","2,731","2,490","2,249","2,226","2,166","2,118","1,968","1,881","1,793","1,705"
Ships and Boats,402, 418 , 435 , 452 , 470 ,488, 507 , 483 , 469 , 428 ,506,544,643,617,591,565,515,465,460,448,438,407,389,371,353
Rail,338, 355 , 374 , 393 , 413 ,433, 455 , 457 , 469 , 444 ,451,485,574,550,527,504,460,415,411,400,391,363,347,331,315
Aircraftb,25, 26 , 27 , 28 , 30 ,31, 32 , 36 , 40 , 41 ,40,39,46,45,43,41,37,34,33,32,32,29,28,27,25
Agricultural Equipmentc,437, 445 , 453 , 461 , 469 ,478, 486 , 487 , 487 , 497 ,484,480,562,539,516,494,450,407,402,392,383,356,340,324,308
Construction/Mining Equipmentd,641, 652 , 663 , 675 , 686 ,697, 708 , 707 , 706 , 765 ,697,690,807,774,742,709,647,584,578,563,550,511,488,466,443
Othere,318, 326 , 333 , 341 , 349 ,357, 364 , 382 , 394 , 413 ,407,406,476,456,437,418,381,344,341,332,324,301,288,274,261
Total,"10,862"," 10,795 "," 10,728 "," 10,662 "," 10,598 ","10,536"," 10,475 "," 10,528 "," 10,385 "," 10,183 ","10,199","9,696","12,485","11,755","11,025","10,295","9,740","9,186","8,523","7,797","7,290","7,294","6,788","6,283","5,777"
IE - Included Elsewhere,,,,,,,,,,,,,,,,,,,,,,,,,
a NOx emissions from alternative fuel on-road vehicles are included under gasoline and diesel on-road.,,,,,,,,,,,,,,,,,,,,,,,,,
"b Aircraft estimates include only emissions related to LTO cycles, and therefore do not include cruise altitude emissions.",,,,,,,,,,,,,,,,,,,,,,,,,
"c Includes equipment, such as tractors and combines, as well as fuel consumption from trucks that are used off-road in agriculture.",,,,,,,,,,,,,,,,,,,,,,,,,
"d Includes equipment, such as cranes, dumpers, and excavators, as well as fuel consumption from trucks that are used off-road in construction.",,,,,,,,,,,,,,,,,,,,,,,,,
"e “Other"" includes snowmobiles and other recreational equipment, logging equipment, lawn and garden equipment, railroad equipment, airport equipment, commercial equipment, and industrial equipment, as well as fuel consumption from trucks that are used off-road for commercial/industrial purposes.",,,,,,,,,,,,,,,,,,,,,,,,,
Note:The source of this data is the National Emissions Inventory. Updates to estimates from MOVES2014a is a change that affects the emissions time series.   ,,,,,,,,,,,,,,,,,,,,,,,,,
Note:Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
